"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
82,1430,17273.37304,8667.2503,71.56363,1158.13862,16.25909,24.03464,6.27179
83,1449,11621.09077,18967.59677,110.15724,690.85079,20.31569,28.75049,24.03297
85,1452,11729.87723,19026.18475,144.33409,1279.09586,11.72998,24.92193,18.85566
86,1453,11606.22091,19046.70147,89.10419,934.43781,24.46117,30.44529,13.15846
87,1454,11687.64697,19013.57412,109.20458,1006.58194,15.88394,28.26466,16.19704
88,1478,17189.53807,8586.98212,129.55005,1193.01544,15.72317,33.91523,22.09884
89,1479,17273.40551,8675.80126,82.61384,596.60461,20.85665,32.97165,19.23789
90,1480,17228.40307,8627.88396,73.0594,614.85117,15.95925,25.76366,12.25527
91,1486,17223.77313,8702.12715,72.24538,634.3952,16.79603,27.33793,12.32643
92,1487,17180.88452,8681.4889,74.94515,900.72306,21.37115,37.50656,12.44633
93,1524,22360.00584,24977.60689,207.57348,1241.91214,9.0873,31.52369,47.97301
94,1529,22236.62774,14099.84722,211.6739,1494.51127,6.18599,28.55985,37.72112
95,1575,18366.68691,7033.12253,88.81082,1300.45063,16.34972,25.99199,8.36205
96,1576,17250.1842,9340.67356,126.4836,781.97163,19.58928,36.05385,33.9216
97,1576,18344.2003,7029.91675,76.79173,1213.47045,15.52135,26.16153,7.14203
98,1577,18334.60835,7043.73184,86.90882,1291.40003,16.01237,30.17561,9.23292
100,1581,8167.27245,3664.63982,151.49825,632.52615,24.01669,32.9597,53.58408
101,1629,19957.11869,7109.78944,95.93624,1357.051,14.09224,27.03798,9.42204
102,1678,17144.44061,9536.96293,133.41699,773.58511,16.45211,27.39345,29.04043
103,1690,20051.43134,13479.1835,94.97409,1024.78549,16.06169,25.71564,11.53187
104,1703,24087.1729,10967.63968,103.46965,1080.13375,9.81775,22.99254,11.49131
105,1704,24236.75274,10955.36132,97.71793,999.63923,12.0559,23.40585,11.40097
106,1705,24205.44086,10836.80651,90.01818,1209.65728,19.38135,39.70838,13.33392
107,1754,2975.29276,7162.3531,126.34177,832.13605,17.99476,27.07875,24.23171
108,1970,19518.80889,13175.68647,84.63094,944.58074,15.40772,25.54424,10.25305
109,2055,6565.81667,19075.85588,91.10303,915.07703,10.34595,25.29404,11.80062
110,2235,11298.66651,11629.49486,96.22953,1210.42409,14.11797,27.85667,10.81393
111,2236,11283.91026,11642.54895,88.58325,2960.29017,17.58677,31.67323,4.64617
112,2237,11297.88542,11630.60444,104.49585,1048.9645,15.49889,31.21104,15.79613
113,2238,11280.05889,11657.21679,111.46148,2090.61894,12.10412,25.44792,7.7132
114,2239,11247.13235,11680.8094,102.57931,1857.66034,19.15211,31.76615,9.03562
115,2504,12912.85219,1474.72792,172.18252,905.57518,16.4588,36.81161,53.33759
116,2637,12766.43009,1614.89245,140.1775,1184.42562,10.53583,23.32943,18.12243
118,2726,21877.69018,11689.24029,164.23462,1052.63501,12.45386,29.05389,33.42261
120,2742,19122.35773,7109.72508,131.40721,686.89667,26.32225,31.23788,35.98357
124,2763,19045.62867,7088.44807,74.15299,419.94233,26.50344,32.96742,22.69066
125,3108,18779.4934,22190.08902,180.56596,1087.70061,11.04806,24.75836,33.20001
126,3121,21464.13941,13329.61014,94.85324,954.80588,17.94411,29.38054,13.8576
127,3122,21510.22122,13303.25298,164.38883,883.10825,21.74504,29.12023,39.86649
128,3146,12159.57821,11936.33062,137.8069,707.15263,16.96168,28.81682,35.32093
129,3152,24296.36203,22382.40526,115.5237,1253.34584,14.0361,26.74554,13.78566
130,3167,18736.90528,22050.65556,96.12001,810.96291,13.71811,25.04418,14.33102
131,3171,24351.14111,22362.85097,81.87506,699.31643,21.36853,30.46003,15.10991
133,3251,12880.70063,578.78181,144.67649,1421.93302,9.43424,24.66485,16.95033
135,3336,21252.68741,9693.15794,99.99819,757.90679,17.04381,27.70282,17.92468
136,3359,13230.31938,3731.61497,160.49487,1209.85523,7.35336,24.13281,23.45474
137,3363,16193.84736,5632.4286,137.50765,994.67235,22.87452,36.01286,31.19566
138,3371,15807.43855,6048.71522,155.67225,1085.41605,16.30428,29.67146,29.93898
139,3384,14052.38895,3611.60588,132.65173,832.08604,20.35254,31.04944,30.15928
140,3397,20638.76871,13865.98396,129.3262,956.17587,17.34987,28.0556,22.83823
141,3403,16323.9956,2359.22061,76.92656,711.11833,19.44655,23.65401,10.75338
142,3410,20007.27513,13573.10329,90.11933,900.51149,11.50561,24.73086,11.53868
143,3411,20012.1007,13648.39569,106.21538,685.4982,13.89347,22.68204,18.23241
144,3420,15509.5037,21575.36169,183.15288,1250.61139,9.23597,31.25259,37.19771
145,3465,6924.77405,3723.59761,152.75514,1033.9786,8.978,24.01596,24.80974
146,3485,6764.46509,2732.58179,104.43467,1112.3688,12.40043,25.04455,12.2343
147,3503,12140.78293,20965.3753,142.71579,901.29699,11.18887,27.36616,28.28889
149,3554,6656.039,3372.01523,84.8772,555.38037,20.61398,22.38174,15.10008
150,3602,16245.52362,1816.91205,130.81949,950.17975,17.46909,25.12461,21.1623
151,3628,20085.92172,9143.81154,90.45809,573.42731,17.98404,25.56996,18.35577
152,3647,22015.65076,3818.5325,140.71576,872.49459,14.87504,25.21453,26.32941
153,3696,15169.20401,5891.28222,111.57692,905.13797,8.68763,23.11464,15.50345
154,3835,13767.56351,16952.6645,219.25844,1536.10231,5.63373,28.46237,39.14982
155,3854,10692.66692,12558.38904,127.76158,937.73781,13.53795,24.90701,20.37484
156,3883,21751.60977,14221.303,86.20609,830.16432,19.43839,27.33863,12.65671
157,3917,6369.25315,20106.48185,113.13381,1579.23683,14.1894,25.6578,10.31407
158,3918,6368.71376,20096.96178,87.07911,653.93496,16.64026,28.9315,17.01175
159,3987,23917.79821,22082.34504,99.70585,1087.0292,9.78007,22.42071,10.51112
160,3988,23884.41574,22055.62677,97.1547,2135.69763,17.72363,30.73143,7.05219
161,3989,23906.61837,22091.8101,110.55297,4627.8509,21.62482,37.69292,5.09543
162,4009,21682.67043,14687.18159,118.44896,883.97298,13.39879,23.59655,17.93337
163,4045,21510.62083,12477.51635,241.2928,2467.41926,1.27556,32.21222,33.29057
164,4051,21435.39797,13104.87595,143.63877,1140.82145,13.5207,27.31705,22.72721
166,4210,14084.91175,3786.98072,148.8,1296.75074,6.21983,26.99173,21.18159
167,4222,23637.2351,22755.58504,99.14538,1263.60875,11.68923,31.01976,12.0135
168,4223,23621.67112,22771.26061,89.57987,1539.87734,15.56272,31.17215,8.46362
169,4224,23604.01927,22744.04468,71.33016,1416.9624,14.55107,23.14937,5.08394
170,4225,23641.35882,22745.04843,91.27985,2296.20243,15.69064,30.11934,5.87396
171,4226,23601.46568,22749.33607,99.69692,1720.25965,13.25204,32.92682,9.55284
172,4227,23613.71122,22727.59547,80.94068,844.56975,14.59554,20.8789,8.94705
173,4238,14797.44681,3820.71552,96.79865,777.79692,14.48656,24.34833,14.7111
174,4351,19223.21289,6557.70183,143.89782,992.47729,11.88365,28.81804,27.46276
175,4352,9140.85865,17461.65687,91.20768,628.5824,21.88404,28.97844,19.12887
176,4448,19284.40487,8526.86785,77.18986,706.89954,14.87124,33.41336,14.80272
177,4455,14649.39304,718.27083,230.1757,1354.41261,14.93481,29.09243,49.6996
178,4465,15625.30328,1176.17396,126.96693,914.47837,12.93065,25.67138,21.22799
179,4498,19592.53634,18240.03681,80.33729,866.08061,13.53026,20.50145,8.51943
180,4499,19590.08494,18257.52583,76.52171,927.32751,13.8774,24.0467,8.46828
181,4500,19588.0627,18281.61409,93.50737,772.25711,11.17721,24.53545,14.07292
182,4501,19604.47834,18288.93105,97.46647,990.35786,18.34891,27.84649,13.34932
183,4514,19561.62056,18264.35501,114.08145,960.39461,11.60897,25.85969,16.85853
184,4530,19635.75846,18319.21473,101.75692,789.00188,16.92779,31.51381,20.03645
186,4554,19589.58236,18237.38068,86.18989,1256.11455,15.60281,23.65394,7.61713
187,4555,19585.22633,18247.65883,78.3766,1493.92577,17.76963,29.31059,6.69278
188,4578,19584.88935,18280.69645,116.48359,848.8233,13.16412,27.62466,20.93546
189,4596,19589.08934,18267.66277,101.12681,1295.08022,13.34323,39.39614,15.11951
190,4598,19620.06363,18205.36927,77.96537,645.3493,19.86089,31.91841,15.74036
193,4616,19578.58323,18236.98238,98.91149,931.25836,14.5453,26.54338,13.8974
194,4617,22848.25572,6074.1755,90.27421,1680.25217,21.78658,27.47636,7.10962
195,4621,22942.72277,6112.53434,87.79941,932.05957,18.93361,29.35456,12.45596
196,4726,11519.95176,961.72774,81.25476,715.38732,16.32467,25.10785,12.27519
197,4733,23850.313,10463.19384,136.4592,1067.62515,10.06586,25.65205,20.81106
198,4742,19604.91814,18291.68579,105.40444,679.48424,18.72169,30.81112,24.12228
199,4780,9820.85677,16848.11241,157.50341,1382.20658,9.22275,29.10704,23.73584
200,4800,18678.04001,8494.6454,187.61445,1278.80548,8.67555,28.74102,35.13938
201,4802,18527.74243,2103.77334,141.06153,2251.53179,12.60972,31.44566,13.02306
202,4813,18515.97765,2060.82197,136.14782,1352.80967,16.32545,29.17336,18.58762
203,4818,18516.55821,2101.89762,144.55001,1540.09507,10.24187,30.89979,19.29786
204,4819,9928.7879,16778.30609,85.81994,729.96577,15.43405,19.37853,10.52764
205,4952,21530.94775,13896.5607,129.30925,1223.37034,12.49575,30.11673,19.22063
207,5007,18336.21016,818.08779,169.87232,1065.85658,11.60325,25.83012,31.43565
208,5069,19631.94042,18253.50666,105.52714,1326.30129,10.46761,24.35476,10.31099
210,5257,13797.29504,10749.19988,180.17437,1195.50407,9.19959,28.4483,34.42784
214,5515,10942.09666,18150.06077,179.15529,1234.28587,15.07081,25.37511,29.60335
216,5517,11014.58281,18177.97344,162.77569,1061.97581,14.52093,25.96578,29.27273
217,5608,14916.22861,8890.17104,101.05247,2610.99899,18.74341,35.59953,7.07934
218,5621,23308.18242,11722.24381,124.87196,838.00905,14.32082,25.56611,22.3295
219,5622,15054.43491,10199.60292,88.20282,731.282,19.59246,31.05995,16.66559
220,5632,14909.25908,9475.96138,87.49672,650.2772,19.92593,26.41361,15.85972
221,5659,23267.03311,11716.77819,151.59602,1222.14102,8.3434,24.56625,21.26163
222,5660,16090.44152,5846.51838,105.82353,816.84847,20.5385,29.59029,19.55814
223,5664,20863.35988,14948.35184,104.12716,806.50027,16.4003,29.73095,19.33509
224,5723,15314.93789,10581.93508,102.01059,686.70463,17.96863,25.77384,19.08232
225,5766,23883.16896,13500.13778,78.18249,732.63002,14.86074,22.82753,10.40543
227,5897,17748.65458,8851.89381,174.34891,1150.04467,19.06132,31.84681,37.46686
228,5899,18800.79938,8841.59528,88.22439,644.18292,17.69392,24.72305,15.28012
229,5969,17890.47925,9748.32658,233.83005,1977.37151,5.15841,25.87729,31.56347
230,5981,15623.39509,1266.65906,116.07484,776.39798,19.30256,28.10943,23.05436
231,5981,18463.85828,7741.66751,179.35461,1385.10193,10.39944,26.82253,27.94621
232,6068,18234.26769,7865.55107,136.322,933.42912,15.89662,28.39437,26.02672
233,6107,15711.32312,6628.10381,129.13992,710.64673,19.80815,31.94784,34.4456
234,6124,17966.21673,7951.48242,80.7747,631.41607,18.2085,25.06015,13.65588
235,6137,21800.15139,6485.88251,212.801,965.7807,17.51975,31.91049,65.30704
237,6162,11084.8635,11832.60411,118.92848,720.20759,17.64238,31.19555,28.60148
238,6174,18745.60331,16615.32656,150.89904,1075.98582,19.34863,27.97636,26.94445
240,6175,17361.53299,7771.58913,102.96369,921.92745,7.68584,17.28029,10.38092
