"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
4657,43364,8064.05096,21588.55546,105.427,576.42523,20.66255,28.6408,26.42948
4658,43378,8129.00672,21273.84648,148.44363,1584.81939,8.79969,29.05897,18.61107
4659,43384,6273.05678,7897.45034,225.82455,2127.08475,8.39944,32.31905,34.01666
4660,43391,14711.92378,1496.35734,93.18982,673.30955,19.37078,34.08185,21.61795
4662,43406,22857.03857,16493.18793,113.73123,1040.34496,18.44602,33.52787,19.75436
4663,43409,14520.68867,2416.99886,178.98628,1237.20234,7.66797,33.7642,38.7822
4664,43415,12263.43559,17576.2236,145.46366,1225.48384,14.92247,28.61246,22.66533
4665,43415,14797.05098,2343.08825,106.61036,930.77106,15.35393,29.07812,17.18794
4666,43416,14737.24843,2374.36425,103.36486,643.74726,18.49445,29.07307,23.25474
4667,43433,6079.14737,21297.29017,95.95397,569.50102,29.3713,36.77361,28.79947
4669,43443,6886.36281,20813.21526,139.55379,928.45137,21.831,29.4688,28.29427
4670,43451,19960.46378,16351.61251,238.7028,1635.36944,7.25633,28.24534,43.02614
4672,43471,21360.70339,2563.16488,152.22268,992.03478,10.56373,25.2419,26.88859
4673,43492,11305.14285,14373.56592,98.82641,767.97462,13.19134,24.32417,15.40666
4674,43494,11675.12751,14216.33425,96.34064,734.84445,17.19304,25.52038,16.07127
4675,43494,23501.98928,14155.09174,183.07715,2191.1133,9.69329,33.2012,22.74737
4676,43495,11178.38557,14467.57306,113.40446,854.64753,11.49436,29.55257,21.12277
4677,43497,11371.23705,14277.13162,134.07673,967.4707,9.65869,21.62587,18.94265
4678,43521,9747.54345,16141.14028,118.84169,725.45562,20.60138,32.18778,29.22445
4679,43524,5940.30763,2530.1824,88.03537,776.57769,14.58795,25.43844,13.08495
4680,43536,14221.68627,872.56947,227.77252,2141.48319,0.0,31.26884,33.27792
4681,43537,20217.83445,17406.20155,217.58806,1426.11618,9.86218,29.99717,43.66694
4682,43546,19374.19685,17394.92705,166.7424,964.09581,15.28598,33.40754,42.91006
4683,43567,11950.91761,16827.78173,221.34816,1913.19507,10.9667,30.52119,34.37559
4684,43570,14758.13979,1121.51508,143.30211,929.8591,15.72642,26.88983,27.19356
4685,43579,5182.67644,7239.8334,211.03713,1403.93795,9.97922,28.37372,39.6285
4686,43582,19465.5132,13925.10863,128.75182,823.90497,12.67261,24.66615,23.19599
4688,43611,16231.53767,23527.28634,155.17994,1024.98633,15.22239,26.47659,28.23939
4689,43612,9684.92339,16045.09472,92.21616,718.38307,17.08741,25.61212,15.30615
4690,43616,22290.82412,17651.19596,195.91216,1290.28372,8.16084,25.55626,33.79013
4691,43621,16340.63468,5767.47764,118.08034,957.54437,23.51092,31.37824,21.5091
4692,43621,23234.94798,17587.69037,107.82282,869.60812,22.15426,27.46472,17.75378
4693,43623,11823.82654,17782.73299,208.65954,1492.54152,6.63072,26.52094,34.22682
4694,43623,16287.91961,5059.49552,177.57299,2282.25656,9.2083,29.70519,18.60075
4695,43624,16247.29642,4970.14699,101.93121,878.5041,17.68846,27.61665,16.03177
4696,43642,22257.271,17770.40795,166.66247,1318.1098,13.01995,30.85837,29.20448
4697,43648,15041.07313,15952.56184,128.41712,5985.48883,27.52561,37.45116,5.15829
4698,43649,15091.75359,15956.06354,111.36361,5836.75587,36.69946,43.49782,4.69671
4699,43650,15076.57162,15904.60185,130.49167,5228.58413,26.20778,35.27608,5.70812
4701,43652,8842.59343,17781.401,135.519,871.26036,20.22237,32.05843,30.92044
4702,43654,8704.70682,18044.9727,164.02972,1248.89842,14.44077,30.09341,29.17228
4703,43655,7023.76804,12386.4643,76.64773,697.73898,19.13067,24.98356,11.41125
4704,43659,6121.90426,24036.00619,153.43631,988.60598,12.4305,24.81687,26.94353
4705,43661,6995.68991,12287.82881,71.54074,626.73256,17.11136,24.00533,10.95968
4706,43672,22115.20639,20426.51001,113.35199,5188.1691,30.57205,51.89774,6.28463
4707,43675,22255.20398,18482.26937,160.45166,919.35661,26.84858,32.2049,40.35601
4708,43678,24525.7993,16851.00909,93.47906,607.42323,20.32519,34.22344,24.12354
4709,43684,12062.68517,17298.1148,170.33275,1724.94465,20.94319,31.13963,23.6001
4710,43689,22729.74464,18490.80569,99.04492,860.37911,13.24248,27.98761,15.76029
4712,43705,12165.04686,18061.191,180.61408,1338.30076,6.82021,27.19656,29.66926
4713,43708,12162.42993,18064.7381,99.4944,830.32952,20.01712,21.86798,13.17167
4714,43712,23681.09616,18389.1893,165.74134,1120.05855,14.96915,32.91088,36.07291
4715,43722,13549.8301,12629.82418,133.16395,937.06828,17.98926,27.89843,24.43149
4716,43723,22592.50655,18183.70461,126.2701,1495.96068,12.15595,30.2752,15.24763
4717,43732,14418.0951,14093.90323,125.45475,905.76928,21.88965,31.52378,25.43737
4718,43734,14333.20518,13499.38308,127.08439,844.12025,16.46792,30.33569,26.89387
4719,43735,13109.58716,16864.88161,89.59506,875.87158,13.90037,23.13901,11.07284
4720,43736,13162.97075,17107.01818,195.42451,2146.78236,4.29393,25.47809,20.45712
4721,43736,18322.31764,13970.07845,134.08549,1483.43886,12.26508,26.12929,14.9629
4722,43742,15973.64386,12881.65889,86.29788,758.88914,17.38509,30.60853,15.30039
4723,43742,18933.62599,14019.8128,119.60105,821.96068,20.43003,29.62252,24.17909
4724,43744,15552.06653,13045.84507,141.70715,1237.0765,10.06603,26.98099,20.2657
4725,43748,15407.71812,12634.19945,129.60133,1647.37867,14.59858,35.681,16.95687
4726,43749,14529.43914,14409.93821,148.75355,1082.80694,14.42141,32.19097,29.81103
4727,43750,13376.91259,16680.49665,189.24932,1850.86695,11.08723,30.64724,26.45588
4728,43751,8508.13879,3782.59235,217.87252,1474.49218,7.43156,29.60088,41.82002
4729,43751,22516.63671,15705.77571,144.3685,920.05508,15.49291,29.47653,30.39934
4730,43756,15208.56392,12803.34636,103.04276,1259.18358,18.18708,27.95543,11.72667
4731,43757,14070.48419,12826.19259,113.30982,811.00661,17.05532,24.41026,18.57926
4732,43757,15183.42673,12768.24283,98.7022,1544.7818,16.44123,25.46137,8.32498
4733,43758,15299.27583,12777.72582,118.21862,1335.13276,15.91797,30.636,15.29104
4734,43761,13511.33738,12762.27658,130.15471,890.83037,12.60317,21.64721,19.45309
4735,43763,9375.7468,8905.64494,139.56564,1066.45986,12.1682,30.39731,25.46018
4736,43763,18635.432,13890.20073,130.80389,883.74737,15.6632,24.05075,21.78768
4737,43767,14139.49539,13286.23364,107.16363,1107.61488,20.10378,30.97524,15.55411
4738,43777,13043.40943,20727.57972,161.57862,1546.37827,13.96055,27.95651,21.48973
4739,43780,13553.87539,9089.48476,127.06132,825.78633,14.78362,22.8041,21.01594
4741,43792,13895.29281,20391.63519,120.11108,1212.02632,18.19331,36.38884,20.28528
4742,43793,6566.64827,10146.27088,183.31796,1550.85453,12.85314,29.38226,28.44149
4743,43794,7534.63464,17546.99775,169.0734,1062.20964,10.51903,21.38781,26.17135
4744,43797,8161.01441,21574.22753,131.72066,1132.28422,8.15284,26.10725,18.75215
4745,43798,8006.37225,20973.4393,127.70013,1010.35609,12.50319,23.52532,17.98482
4746,43798,21772.48074,18127.13251,88.47841,1511.74677,18.13506,32.81991,8.82515
4748,43801,21780.44649,18533.54151,156.17453,931.13341,14.47763,26.27347,31.15325
4749,43802,23064.4015,17465.77775,178.81734,1054.98972,13.1384,25.45874,34.4893
4750,43816,14220.15771,15795.2201,95.98546,646.23384,19.7552,31.85414,22.20516
4752,43820,12258.05152,18166.00516,151.10755,1147.47764,16.11238,32.81055,29.53469
4753,43822,14063.61901,14843.27414,115.62081,767.32771,18.61538,27.56074,22.73139
4754,43823,23949.5032,18529.73324,124.49404,781.71852,17.50647,27.01853,25.01903
4755,43830,14629.86825,1106.17593,99.4498,814.26389,16.56965,33.76719,19.92705
4756,43833,13856.1259,13963.58431,135.02667,1106.18151,9.80549,23.69907,18.34658
4757,43833,14553.65895,1259.52345,132.78138,856.8649,15.55441,33.68446,31.74619
4758,43848,13635.26646,14394.52898,102.715,1088.86576,16.73559,26.70382,12.84561
4759,43850,13978.82399,14535.26358,128.46734,1382.56098,12.13746,30.69012,17.17892
4760,43851,13800.81676,12562.8539,126.99183,1110.02786,21.93904,31.35928,21.22972
4761,43854,10308.91717,22328.992,154.76595,1074.7455,9.76491,24.60704,25.04521
4762,43870,15355.45559,8414.93269,120.13155,1569.56353,10.04193,21.7527,9.98381
4763,43871,15435.19276,8476.78834,115.20674,1111.10802,15.70354,27.94866,16.01621
4764,43891,6731.1703,18000.76319,113.76494,925.67912,13.5944,23.28795,15.8028
4765,43901,3949.83922,17910.1662,129.29286,992.66945,13.92124,21.72348,17.39566
4766,43903,16391.94413,16750.25013,92.61012,566.16252,21.01031,26.05215,19.66896
4767,43906,20141.87264,10243.83775,145.77425,1092.12317,12.79164,26.56396,23.7288
4768,43909,20199.40981,10147.92714,115.79272,952.41421,16.32397,29.80465,19.89487
4769,43909,23082.87575,18375.08452,187.95376,1429.10644,9.31867,26.38073,29.14326
4770,43911,18162.62693,17589.09152,181.56863,1437.86465,12.97561,27.4251,28.1629
4771,43911,22502.42123,18040.0301,100.29335,890.67627,16.07577,23.60415,13.3659
4772,43912,16419.57552,16679.97135,112.21365,1616.33352,13.9105,30.9524,11.73842
4773,43912,22476.56662,18086.02709,92.22927,762.80793,15.47062,27.20196,15.27006
4774,43914,16512.85115,6100.85752,166.28812,1295.44924,10.4881,27.13496,26.17314
4775,43915,22996.85005,18545.90867,109.35901,722.21549,17.21775,25.87077,20.58996
4776,43916,22747.82966,18357.07055,128.26809,1285.40572,14.84158,30.59595,18.32607
4777,43919,16677.21779,17540.36094,184.77108,2274.09155,3.23938,29.51219,19.97964
4778,43921,17503.88728,17244.13302,134.87786,1250.90431,11.23139,26.84312,18.24483
4779,43922,18878.06671,16912.5313,157.88982,1352.42691,9.37029,27.65436,23.20709
4780,43923,18825.12777,16988.58086,133.62619,1603.23573,10.29888,30.66672,15.98044
4781,43933,3898.13503,17770.36224,140.05498,1203.08452,9.81255,21.14354,16.31376
4782,43952,16450.09061,16755.77286,92.95832,825.25842,17.09731,27.88929,14.68288
4783,43963,7576.98196,5929.46711,113.00334,1538.93642,20.10901,30.03343,12.11622
4784,43969,19356.17221,18218.77113,111.75403,1133.50841,22.45195,28.11177,14.97687
4785,43970,17823.84797,15216.31006,184.34223,5661.39932,26.94581,44.58241,12.10702
4786,43970,17839.5734,16969.36619,84.74285,693.41491,20.86236,30.46687,16.12195
4787,43970,19305.41407,18324.27823,108.94757,1120.28575,17.72489,25.49422,13.27083
4788,43971,18370.77991,15201.1933,162.84896,1066.37182,16.10134,26.83858,30.1108
4789,43972,16383.40532,16741.73501,111.36121,1400.03984,14.13888,25.97151,11.35505
4790,43972,19434.04903,18138.10773,146.9085,1205.21534,12.55016,26.70549,21.98768
4791,43974,16085.24542,14197.49626,113.56442,725.5397,18.02693,26.79935,22.64254
4792,43978,7196.19029,6318.55885,105.78433,631.2191,21.18393,28.18558,23.97337
4793,43988,20593.66948,18008.34121,85.35108,701.69306,18.40138,24.68903,13.33116
4794,43996,3935.53586,10821.47481,148.06538,1369.19966,18.58098,29.85639,21.88678
4796,44000,13835.396,15655.02789,165.24487,1221.07946,14.33229,27.71998,27.95969
4797,44003,3533.93911,11613.90414,175.51371,1660.18203,8.52089,27.19716,22.80148
4798,44030,12064.64315,15773.39648,118.79823,866.51882,11.21289,23.00114,17.95097
4799,44034,3999.74455,10909.53591,108.74647,829.98218,14.68779,26.76345,18.40214
4801,44034,11872.78526,16707.17474,156.33113,1047.75479,16.14398,30.50357,32.07612
4802,44037,4958.7925,21843.01438,160.72596,1034.85117,12.9299,24.33859,27.57864
4803,44038,11696.08558,16167.43226,116.37788,1372.97625,17.58143,28.3397,13.49072
4804,44040,12155.69549,17050.75167,130.66461,1195.89856,14.65899,30.15155,20.04328
4805,44042,15373.7363,10800.71836,119.55812,1232.74965,14.69448,31.89733,17.48616
4806,44048,4935.88707,13534.35706,100.57445,670.93175,19.71517,26.3322,19.42289
4807,44048,11772.98818,16021.82272,173.36472,1826.5828,6.96704,29.52577,21.94113
4808,44051,14808.2323,1141.59867,76.83529,562.37368,17.40638,24.44884,13.7662
4809,44058,11693.98096,15201.7243,102.43961,1085.51715,14.55552,27.13898,13.01085
4810,44058,15116.41469,11274.01588,95.67634,590.76946,20.13007,26.29287,20.12489
4811,44069,19321.77447,18013.4525,175.1538,1019.69211,15.76988,36.464,48.54632
4812,44075,3462.80044,11284.63024,127.3342,944.81118,14.73737,24.62263,19.89484
4813,44075,15213.02787,10622.48806,105.69825,776.62734,17.96747,25.70731,17.98792
4814,44076,11460.38085,15193.05212,159.26531,1589.75766,12.00387,29.81981,21.6405
4815,44077,11548.61417,15309.34727,125.65617,1106.11439,12.52393,27.69503,18.61015
4816,44078,15167.61253,10920.90854,96.68193,982.91756,18.79908,26.24763,12.58064
4817,44081,15696.29726,7020.62474,132.98533,720.63565,17.86108,26.56921,30.05027
4818,44089,5106.00443,19717.80007,111.92799,951.64113,9.75923,18.89461,12.47166
4819,44098,15426.23342,11334.24289,141.54237,1199.3284,15.1035,29.15033,22.40157
4820,44101,15337.62434,11537.70295,146.96257,1540.32066,10.11034,31.47982,20.24008
4821,44105,7517.76933,4445.0122,147.59454,1158.97141,16.94182,31.97771,27.31589
4822,44105,15549.61945,11164.52402,110.43244,1525.59213,17.55995,24.7693,9.9178
4823,44132,19770.43581,11220.49778,152.07638,1974.43917,15.68967,36.85997,19.65541
4824,44133,14566.27147,1446.67907,149.18527,790.65992,17.35595,31.63688,40.13918
4825,44134,4220.22078,7942.97985,150.11203,1273.60705,14.10743,35.31882,28.2691
4826,44135,4320.65424,7899.60049,94.3928,617.26015,20.73683,26.22611,18.80993
4827,44135,19653.17892,11631.068,140.79477,1426.05532,11.81795,24.41511,15.94721
4828,44140,4312.3757,8070.43889,149.08683,1307.91524,8.70773,24.77581,19.47213
4829,44151,4118.17337,8093.68943,110.30381,617.45443,19.62176,34.52628,32.02028
4830,44152,20472.01876,17706.07679,117.89949,799.59531,18.48655,25.471,21.01102
4831,44156,19806.60105,12098.74971,208.70999,1768.18976,0.0,24.86268,27.29954
4832,44157,7404.14914,4460.00057,97.29649,719.41675,18.22869,27.65614,17.95311
4833,44160,21985.94411,17336.14045,146.71335,1392.5346,15.74843,30.11709,21.34423
4834,44167,17075.31548,18662.81314,120.21774,1369.30905,13.9395,25.53453,13.03903
4835,44173,8157.35623,14895.76695,141.543,757.30078,17.94385,27.55687,33.2445
4836,44175,3741.96867,21359.12481,86.45209,733.87864,16.58266,26.50241,13.89978
4837,44178,14727.35859,12980.49085,135.94163,1033.56641,13.24181,28.49901,23.53283
4838,44179,14616.87425,12920.14144,123.59769,799.06365,18.53742,32.17352,28.5338
4839,44187,4404.61495,8731.2198,124.39113,1031.75773,13.74955,22.03382,15.86313
4840,44205,2607.65079,10134.22495,116.67188,1367.39229,20.72398,31.14103,14.82195
4841,44206,21148.27957,16098.49354,131.39053,1609.62532,18.61395,27.38518,13.93044
4842,44209,21365.53303,15931.53393,152.56391,1045.88198,13.62998,26.64394,26.99113
4843,44213,21438.85828,16491.89096,175.32232,1475.01218,6.93177,28.58347,26.7522
4844,44218,17108.05485,17936.86715,144.84627,1068.83497,11.12127,27.43326,24.6841
4846,44223,8701.05372,16160.7476,107.54008,2013.26642,14.83074,30.19522,8.68626
4847,44224,8668.80199,16084.2471,156.71114,5671.93117,16.34392,38.68547,7.89404
4848,44225,17503.29076,18182.01381,183.29984,1193.08992,16.77668,28.27001,35.42296
4849,44228,12791.44439,9543.85225,94.35221,831.15699,17.33799,28.34685,15.17648
4850,44230,19883.6841,11563.23656,143.07851,1256.28236,12.23167,25.20539,19.07971
4851,44230,22804.67815,14350.31634,95.39983,607.40631,15.9679,27.90576,20.60627
4853,44234,6082.29518,7357.31115,126.98849,1409.32374,13.26972,28.01792,15.1923
4854,44234,16793.45262,17904.63604,122.44693,1735.65129,12.08701,33.16585,13.61052
4855,44237,16444.03227,18403.38949,121.48914,905.36668,12.10942,21.36465,16.75533
4856,44254,7013.58604,23702.09163,180.21451,1499.18577,13.30143,32.33282,31.19759
4857,44269,15607.57553,18322.23009,117.03582,1114.51243,15.17389,27.32641,16.08378
4858,44285,17367.93829,14314.02106,134.77766,985.98548,12.14054,25.36523,21.74305
4859,44287,15807.08019,18156.15586,143.18588,1000.64394,11.696,26.28211,24.74479
4860,44294,7623.81257,13021.23597,134.50483,919.38805,15.09384,25.99243,23.71365
4861,44301,5225.27003,22139.78727,149.88927,1196.52812,12.43802,27.64856,23.73568
4862,44302,5192.78767,22193.83257,96.78774,746.3849,15.31795,27.63667,17.16387
4863,44305,8451.81909,13986.86459,107.58714,668.92975,18.32047,26.90347,22.34588
4864,44316,4069.83968,21409.66597,111.2046,994.16982,17.19901,28.62007,17.11547
4865,44318,14623.6519,11899.43821,146.02919,969.21161,21.33013,31.35014,31.303
4866,44319,15120.58843,11987.67069,180.95066,1281.86603,12.60309,27.89742,31.81626
4867,44331,8160.96933,13921.93498,135.12975,985.60636,13.34794,28.54654,24.41497
4868,44333,15313.35462,11023.56761,126.32193,796.19827,18.43782,24.94949,23.41469
4869,44340,14564.06725,10873.49595,200.82598,1529.63757,5.24693,24.31769,28.61703
4870,44341,14706.39945,10185.17071,87.24606,819.28286,19.0398,22.61846,11.06888
4871,44351,19791.18716,17525.79508,89.65221,845.23409,12.67429,22.42839,11.15456
4873,44362,12680.30259,12838.67248,171.005,1062.95811,12.92346,30.24266,37.12599
4874,44368,19915.65521,17136.88595,194.90633,1450.77827,13.25097,32.85002,37.97266
4875,44371,6166.24434,7264.59907,74.85304,593.88798,19.83002,27.16011,13.785
4876,44372,6542.22221,12311.5066,116.13937,1200.26441,12.60177,25.89324,14.08185
4877,44373,6606.66717,12217.55189,98.21161,931.50826,12.72175,23.96273,12.53612
4878,44374,19202.23802,17553.98243,89.9944,794.99854,17.6485,23.3077,12.2853
4880,44387,22984.16474,16215.29057,133.46109,818.12659,16.12241,27.14301,27.27623
4881,44391,16250.42788,17974.40748,150.8587,1048.67161,10.08395,26.40152,26.14055
4882,44397,22690.3565,16204.81287,123.01048,1013.52047,18.33287,30.87012,21.57201
4883,44400,19828.1627,3428.49608,179.04774,885.02739,18.46385,28.71792,46.13419
4885,44410,6635.17538,4045.04896,129.36182,850.43162,14.70011,29.12979,26.53309
4886,44418,7284.82208,4247.77816,154.02877,1088.77145,14.08062,31.50457,30.99282
4887,44420,7621.91031,4223.98436,108.5747,1035.3098,16.15406,25.9617,14.44984
4888,44421,7539.22528,4323.46249,144.01814,1227.97763,18.97265,28.47919,22.11248
4889,44424,15529.52436,15378.2167,142.64381,630.82021,22.52829,29.98516,43.7766
4890,44424,22620.50648,15293.06001,113.22057,693.11618,17.79971,26.52632,23.31586
4891,44425,7724.6189,4166.41997,109.01754,1023.38632,14.34498,27.15861,15.32598
4892,44425,22595.21592,15131.17165,216.09592,1684.25162,8.13325,30.17101,36.79412
4893,44430,23060.58499,16508.3913,105.9019,836.04277,20.61763,32.4613,20.88573
4894,44443,24851.95057,16384.46651,129.98577,847.42189,18.11606,35.0497,32.06736
4895,44449,19218.59333,13780.37108,186.3113,1606.06277,14.45077,29.16215,28.1375
4896,44461,2041.07682,10448.2424,127.63169,677.18599,18.66225,26.44688,29.49434
4897,44462,1681.42281,10530.78478,140.50832,1033.04848,12.22584,25.71255,22.70677
4898,44469,20694.84016,13266.56018,98.00186,494.93166,20.60024,26.60671,25.16853
4899,44470,14075.95044,15564.73287,111.80251,2971.33697,13.53588,37.58946,7.80265
4900,44471,14108.78745,15583.82669,94.31425,1929.56477,13.24533,26.39422,6.509
4901,44474,14087.86782,15621.60882,124.95774,3932.61744,18.2965,47.34483,8.93082
4902,44474,21506.04418,1665.4372,159.87718,1071.49749,10.57486,24.89004,26.96461
4903,44475,14150.16617,15603.33262,117.65938,2024.3549,17.54629,33.12094,10.94221
4904,44477,14048.39463,15558.48704,117.06422,2539.60154,14.73276,34.69862,9.12398
4905,44478,21123.27349,1454.13211,84.0702,864.26688,14.39768,29.38926,12.4772
4906,44484,23155.29025,18523.08195,128.65821,1494.66495,9.15373,26.14334,13.81016
4907,44487,13960.43331,16923.14403,102.90517,1992.21998,18.96402,36.27909,9.56395
4908,44488,22966.64782,18501.4931,95.90801,717.16574,17.14668,30.13195,19.02508
4909,44489,23241.36001,18434.59338,166.06894,846.68844,18.15198,29.13992,42.38447
4912,44504,8665.43429,18847.39833,163.96974,1642.8624,9.80345,24.35407,18.33203
4913,44510,8005.13758,19810.14326,145.02473,1248.21999,9.74727,21.97526,17.36057
4914,44511,13902.08194,14339.61911,146.62726,1209.15564,8.49654,26.79785,21.91206
4915,44524,21275.36237,20669.73986,111.55664,807.43209,15.54968,29.68095,21.76677
4916,44529,9480.14975,18308.59822,121.16666,1030.36775,6.70236,21.93388,15.10713
4917,44529,23950.53011,9829.24676,120.70705,933.52334,15.27683,26.37849,19.49521
4918,44531,2063.45506,9362.64364,144.31416,954.04236,10.27099,28.91726,28.78874
4919,44532,4351.59197,20200.10109,98.58824,1649.85657,17.14178,23.89547,7.42925
4920,44540,2299.97149,9823.00427,126.15372,1059.22595,10.03916,22.17116,15.94997
4921,44550,19792.34539,18186.97477,166.82043,1148.92513,17.14072,31.87948,34.53687
4922,44566,6213.86743,19782.88123,139.84205,1082.82072,8.27936,20.92595,17.81179
4923,44566,19270.90427,18147.73329,142.40208,1161.55026,9.26336,26.31329,21.22844
4924,44580,1911.70736,10806.49239,123.3555,1624.32888,11.6344,25.20671,11.48232
4925,44585,10288.72475,16018.54371,116.7194,715.34842,15.74829,26.49128,23.84202
4926,44589,15534.34576,8501.76354,137.152,904.43886,12.66086,24.61864,23.72583
4927,44591,1782.31445,10168.01543,132.9572,1287.53138,11.97001,23.31444,15.21845
4928,44602,5009.50577,17748.40695,104.44134,845.73648,10.97969,21.09788,13.61494
4929,44606,4862.62012,13450.86727,126.8146,795.91721,17.5964,24.61764,23.29445
4930,44607,2238.13249,10150.33512,89.04021,968.35384,14.88909,23.18678,10.00656
4931,44624,4576.65128,12890.57451,195.31912,1642.17908,4.93241,27.84639,28.80984
4932,44626,2312.14069,9716.23986,150.29375,1202.30995,15.03242,28.76405,24.64502
4933,44628,2555.22728,13362.42072,133.75581,1492.53349,8.33149,22.87847,13.15748
4934,44635,21169.7598,17596.09851,187.21538,1261.11425,10.31346,26.6599,33.01281
4935,44645,19189.99488,18774.03827,166.95013,1492.40286,9.97724,30.4582,25.6314
4936,44648,19029.99078,18607.21134,95.25466,873.9567,12.14188,24.12254,12.72242
4937,44653,19533.74275,18186.05023,130.97035,901.52574,10.96131,21.26988,19.14009
4938,44658,1232.6433,12580.99646,120.85042,1115.76348,10.76003,31.8059,19.57794
4939,44668,5659.00969,5297.37338,109.96829,797.77734,14.94945,22.26892,16.48173
4940,44676,9308.15833,18942.25201,119.43238,764.15108,16.9189,27.16187,23.85571
4941,44677,18035.50874,13156.55499,153.90664,1924.11086,13.32965,34.22577,19.21339
4942,44678,9893.58481,18807.99466,155.54408,1017.46472,14.07766,28.04131,30.17038
4943,44680,5294.20089,18104.22344,152.03642,1325.82608,14.22499,28.06348,22.36928
4944,44683,5207.44276,17990.32108,95.49843,624.53072,20.11246,25.85558,18.72394
4945,44693,10540.93584,18243.65064,166.52625,1277.73486,12.70547,35.13024,34.05662
4946,44694,23139.54,7629.93917,143.29145,1016.80002,10.51714,27.22743,25.22167
4947,44699,17770.1935,12167.24241,122.0123,784.76538,13.02303,26.20464,23.35644
4948,44701,11044.05128,18107.47257,135.41066,1251.88075,10.01521,25.74135,17.66718
4949,44704,14881.91068,1631.77281,106.74459,591.93379,21.44642,28.35626,26.07702
4952,44729,14439.67834,11504.6917,195.81554,2104.00685,5.12927,28.79834,23.47843
4953,44733,13006.58907,3258.3014,135.68559,1096.37544,17.08649,25.81114,20.19244
4954,44734,17269.04467,11886.28257,127.56432,1118.12904,12.82092,25.41469,17.48263
4955,44736,15889.19476,11028.52622,158.32124,1329.07808,12.36454,33.66644,28.60019
4956,44737,13475.51385,2237.59115,133.28457,970.28018,21.22446,29.74118,25.13152
4957,44737,14323.8791,10507.551,85.46878,838.84897,13.55434,22.10613,10.2776
4958,44737,14621.63948,19491.47768,78.03483,651.99577,19.64201,30.64423,15.03389
4959,44739,13499.68575,2354.63085,135.4004,946.82983,12.84204,28.00133,25.01965
4960,44739,17464.49272,11670.94178,106.5419,945.00712,13.09243,22.13308,13.23384
4961,44740,17523.62988,11683.78563,143.76096,1683.83058,14.07247,29.33876,16.70632
4962,44741,16655.0724,12165.78525,132.37451,796.04737,20.79928,33.75133,33.99954
4963,44743,15790.79924,6459.5829,126.38976,785.07657,16.79082,34.17762,32.04623
4964,44744,14256.01934,11025.03399,84.40453,516.83077,24.10504,27.70261,19.46302
4965,44744,16640.58328,11933.74657,134.4068,1277.0759,14.23683,27.2966,18.04947
4966,44750,21519.2001,22717.56066,75.32211,762.06754,24.99886,31.36477,12.50481
4967,44754,17052.74953,12558.57231,116.31311,842.67116,17.23741,26.32097,20.10319
4968,44764,19147.18923,16532.0203,137.52324,1012.69814,15.50286,29.50535,25.33521
4969,44767,16543.60013,8875.34083,136.42729,1081.20681,16.03413,27.95492,22.26614
4970,44768,16501.73602,8855.48058,114.79519,1471.86311,12.45409,26.64981,11.67626
4971,44769,16539.3883,8825.80703,168.49819,1236.95795,8.52383,26.78847,27.72117
4972,44783,13471.27745,2045.32044,132.43522,851.87743,16.81628,28.82152,27.3705
4974,44802,6782.48595,5401.9822,178.0948,1309.60875,13.96945,28.54,30.90107
4975,44811,1930.32745,13896.33079,107.68029,806.98674,15.68101,25.05701,17.49217
4976,44811,2313.18139,14599.03639,133.54921,923.80413,17.12837,26.59855,23.80906
4977,44812,5100.72659,18962.87716,168.12295,1262.70989,15.25455,29.11075,29.2821
4978,44813,15005.38787,11601.40141,148.56628,1259.959,18.58701,30.77629,24.57262
4979,44817,18296.14841,13449.97425,200.7945,1677.34061,7.45753,28.64503,30.55136
4980,44818,15389.48249,17409.01428,114.29959,615.63998,20.935,30.84505,30.71267
4981,44822,9470.03418,23066.01711,140.5591,1163.06885,12.35491,30.06405,23.45933
4982,44822,14182.92307,1922.12131,173.15085,1605.62247,9.90475,32.73059,27.36948
4983,44827,17832.60315,17638.28335,117.28258,1404.75118,21.99188,33.04086,15.39449
4984,44832,15585.6335,17199.61963,118.97242,870.35841,15.07528,24.54547,19.01784
4985,44833,15488.76303,17508.46738,157.64453,1183.35408,16.70241,27.82328,26.49875
4986,44835,9078.03851,22126.58167,100.87001,607.74747,20.89545,27.73854,22.54607
4987,44836,18159.01034,13325.45957,115.29156,1418.80103,20.03724,29.88068,13.4935
4988,44837,18154.26668,13562.08536,135.78424,1078.796,13.35288,27.71322,21.94382
4989,44838,10784.33538,14584.77876,110.36214,1450.78285,14.35383,25.72399,10.72522
4990,44838,14957.60076,12145.98799,193.0511,2094.84433,11.32585,30.70848,24.3911
4991,44841,16713.42587,17502.801,204.69809,1862.06088,6.75479,29.42299,29.35514
4992,44843,16593.20286,17467.44481,123.47572,1037.35307,13.95161,26.36065,18.33001
4993,44844,16188.85601,17487.11657,157.43114,1969.33156,9.46569,28.10428,16.30779
4994,44845,15170.73877,12066.79985,152.9837,1104.25283,9.44352,26.8994,25.96619
4995,44846,14794.55917,11864.33095,138.426,1537.55628,8.79792,28.26965,16.45006
4996,44848,16902.48283,17556.92911,175.54546,1760.18385,10.02842,33.78783,26.4643
4997,44854,22123.05093,6337.8124,90.8705,528.35301,21.29983,25.59913,20.0319
