Label,volume,centerofMassX,centerofMassY,boundingBoxMinX,boundingBoxMinY,boundingBoxMaxX,boundingBoxMaxY,eigenvalueX,eigenvalueY,eigenvalueZ,aspectRatio,sphericity,numberOfTouchingNeighbors,averageDistanceOf5ClosestNeighbors,numberOfNeighborsCloserThan100.0
134,284,56.183,75.725,36,68,76,83,1.000,4.443,137.920,0.007,1.833,7,14.158,91
135,369,189.238,132.220,179,109,202,146,1.000,23.242,109.224,0.009,1.944,6,15.980,98
136,159,132.031,184.277,128,172,136,196,1.000,4.130,42.226,0.024,2.028,7,16.233,92
137,147,145.755,203.721,135,200,157,209,1.000,3.501,42.735,0.023,2.041,4,13.167,73
138,114,30.421,90.114,22,87,39,94,1.000,3.684,23.169,0.043,2.187,4,13.834,76
139,268,61.119,13.560,50,0,67,30,1.000,9.603,84.577,0.012,1.933,7,15.949,60
140,236,79.894,14.339,67,9,92,20,1.000,7.713,52.479,0.019,2.252,5,16.889,64
141,279,24.068,23.527,18,6,31,43,1.000,5.886,99.810,0.010,1.912,7,16.526,55
142,120,107.525,125.925,101,117,113,134,1.000,3.649,26.936,0.037,1.898,6,15.793,119
143,331,158.637,148.970,151,133,168,161,1.000,14.571,54.813,0.018,2.410,6,15.239,117
144,172,11.965,52.965,7,44,17,62,1.000,7.115,28.208,0.035,2.412,3,16.964,58
145,187,77.904,115.701,70,103,85,127,1.000,4.599,57.784,0.017,1.929,6,14.337,104
146,221,221.606,90.303,213,77,231,105,1.000,5.056,74.226,0.013,1.841,7,16.950,65
147,209,147.019,197.397,131,194,163,203,1.000,3.827,85.771,0.012,1.935,6,12.372,78
148,200,54.485,26.935,49,13,59,40,1.000,4.822,56.529,0.018,2.067,6,15.092,69
149,302,156.755,186.576,136,181,173,194,1.000,7.437,117.601,0.009,2.054,6,14.342,90
150,399,116.431,122.160,100,104,132,145,1.000,8.265,174.185,0.006,1.724,8,15.661,124
151,185,112.568,8.811,100,5,125,13,1.000,4.553,50.051,0.020,2.243,3,22.163,59
