Label,volume,centerofMassX,centerofMassY,boundingBoxMinX,boundingBoxMinY,boundingBoxMaxX,boundingBoxMaxY,eigenvalueX,eigenvalueY,eigenvalueZ,aspectRatio,sphericity,numberOfTouchingNeighbors,averageDistanceOf5ClosestNeighbors,numberOfNeighborsCloserThan100.0
154,248,120.310,179.282,115,164,125,195,1.000,6.346,68.361,0.015,2.075,10,15.346,155
155,138,20.790,56.362,13,51,30,61,1.000,5.499,24.855,0.040,2.227,4,13.779,92
156,274,154.617,182.047,140,170,168,192,1.000,6.164,86.358,0.012,1.962,8,14.569,150
157,208,46.188,29.120,34,20,57,36,1.000,5.745,55.965,0.018,2.021,5,14.100,90
158,217,60.613,21.498,55,8,66,34,1.000,6.418,51.802,0.019,2.183,7,15.409,91
159,197,170.797,104.000,161,91,181,118,1.000,3.812,73.741,0.014,1.671,5,12.633,146
160,155,170.645,151.452,165,140,176,163,1.000,4.461,39.229,0.025,1.886,5,13.193,149
161,188,154.027,50.872,143,41,165,60,1.000,4.299,55.030,0.018,1.845,6,15.542,133
162,205,63.010,207.254,55,198,68,221,1.000,7.987,40.573,0.025,2.212,6,15.273,112
163,150,126.947,43.753,120,35,133,52,1.000,7.883,21.247,0.047,2.008,5,14.860,127
164,173,155.405,163.642,146,156,166,172,1.000,5.182,39.867,0.025,1.976,7,15.863,158
165,145,84.145,118.938,76,111,93,127,1.000,4.577,31.163,0.032,1.907,5,13.354,161
166,136,73.471,137.132,66,129,81,145,1.000,4.374,28.240,0.035,1.938,4,12.618,155
167,190,195.974,190.311,190,178,202,201,1.000,5.953,43.108,0.023,2.160,6,14.538,114
168,101,195.733,146.545,189,139,201,154,1.000,3.432,21.665,0.046,1.808,5,12.589,134
169,191,157.335,171.199,146,162,169,181,1.000,4.321,60.711,0.016,1.823,6,15.558,150
170,115,190.061,219.357,183,216,197,223,1.000,4.975,17.572,0.057,2.486,5,12.675,97
171,383,50.658,49.076,24,42,74,57,1.000,5.732,196.919,0.005,1.822,10,14.120,109
172,91,3.747,236.505,0,231,9,241,1.000,5.540,10.679,0.094,2.329,2,15.387,53
173,305,216.731,175.548,208,162,225,190,1.000,14.104,45.671,0.022,2.331,5,14.159,104
174,232,115.651,162.082,106,150,124,174,1.000,6.515,57.115,0.018,2.075,7,16.638,162
175,181,136.453,175.508,125,167,147,184,1.000,4.730,48.762,0.021,1.887,5,13.735,156
176,153,104.771,24.340,100,15,109,35,1.000,5.148,29.920,0.033,2.231,7,14.284,113
177,203,106.995,190.527,97,182,116,200,1.000,6.638,41.084,0.024,2.142,4,14.407,147
178,193,45.389,41.218,32,36,60,46,1.000,4.206,61.186,0.016,1.970,5,15.303,99
179,209,96.904,147.699,91,134,102,162,1.000,5.150,55.071,0.018,2.077,6,14.876,170
180,105,239.295,151.924,234,143,243,160,1.000,3.799,19.832,0.050,1.922,3,13.605,88
